Student_ID,Name,Gender,Age,Department,Study_Hours,Attendance,Math_Score,Reading_Score,Writing_Score
S0113,Aditya,Male,20,ME,2.7,100.0,97.0,71.0,82.0
S0114,Riya,Female,19,Civil,7.0,75.0,66.0,44.0,69.0
S0115,Riya,Male,21,ECE,6.4,92.0,70.0,79.0,62.0
S0116,Puja,Male,21,ECE,3.7,57.0,73.0,71.0,88.0
S0117,Rahul,Female,19,Civil,3.2,82.0,95.0,89.0,75.0
S0118,Aarav,Female,22,Civil,2.2,88.0,47.0,78.0,61.0
S0119,Arjun,Male,22,ECE,4.2,62.0,91.0,48.0,89.0
S0120,Tanya,Female,18,ECE,2.4,71.0,88.0,93.0,48.0
S0121,Abhishek,Female,20,CSE,2.8,57.0,53.0,87.0,91.0
S0122,Sourav,Male,21,Civil,5.7,77.0,96.0,86.0,67.0
S0123,Abhishek,Male,24,ECE,5.6,85.0,43.0,60.0,43.0
S0124,Sneha,Male,20,ECE,1.1,94.0,81.0,44.0,68.0
S0125,Sayan,Male,23,Civil,2.2,95.0,73.0,79.0,72.0
S0126,Riya,Female,24,CSE,4.8,69.0,74.0,67.0,67.0
S0127,Rohan,Male,18,CSE,3.9,90.0,45.0,70.0,81.0
S0128,Nisha,Male,19,ECE,2.2,67.0,72.0,90.0,59.0
S0129,Deb,Female,23,ECE,4.3,56.0,62.0,46.0,85.0
S0130,Rahul,Male,24,ME,7.1,64.0,83.0,93.0,58.0
S0131,Sneha,Female,22,CSE,2.0,79.0,45.0,86.0,69.0
S0132,Sourav,Female,23,Civil,3.4,77.0,45.0,89.0,81.0
S0133,Amit,Male,23,IT,2.7,79.0,96.0,57.0,57.0
S0134,Nisha,Male,20,Civil,1.1,56.0,61.0,89.0,49.0
S0135,Vikram,Female,22,CSE,2.7,85.0,88.0,52.0,76.0
S0136,Abhishek,Female,18,CSE,1.9,94.0,73.0,61.0,47.0
S0137,Tanya,Female,18,ME,5.3,64.0,64.0,82.0,78.0
S0138,Aarav,Female,22,CSE,1.7,75.0,68.0,93.0,42.0
S0139,Deb,Female,21,ME,6.1,74.0,56.0,70.0,85.0
S0140,Nisha,Female,21,IT,7.0,65.0,46.0,81.0,73.0
S0141,Aarav,Male,19,IT,6.0,80.0,54.0,97.0,82.0
S0142,Neha,Female,19,CSE,2.6,63.0,78.0,63.0,79.0
S0143,Diya,Female,19,Civil,4.8,89.0,74.0,66.0,82.0
S0144,Sayan,Female,24,ME,2.7,87.0,59.0,44.0,85.0
S0145,Nisha,Male,20,ECE,6.9,97.0,77.0,50.0,66.0
S0146,Deb,Female,23,CSE,5.3,57.0,91.0,80.0,70.0
S0147,Aditya,Female,24,ME,2.6,99.0,80.0,76.0,94.0
S0148,Abhishek,Female,24,Civil,4.5,77.0,88.0,66.0,71.0
S0149,Riya,Male,21,Civil,4.0,94.0,97.0,65.0,92.0
S0150,Riya,Female,20,CSE,1.7,68.0,51.0,73.0,77.0
S0151,Deb,Female,24,ECE,4.0,67.0,63.0,43.0,72.0
S0152,Rohan,Male,18,ECE,3.8,84.0,78.0,64.0,78.0
S0153,Abhishek,Male,21,ECE,3.2,55.0,46.0,46.0,86.0
S0154,Aditya,Male,21,ME,4.4,61.0,92.0,94.0,50.0
S0155,Diya,Female,20,Civil,2.3,60.0,62.0,57.0,47.0
S0156,Kunal,Female,24,CSE,7.4,90.0,90.0,69.0,86.0
S0157,Rahul,Male,18,ME,4.0,59.0,68.0,73.0,41.0
S0158,Kunal,Female,20,CSE,8.0,81.0,51.0,69.0,78.0
S0159,Rohan,Female,23,Civil,4.7,82.0,46.0,64.0,48.0
S0160,Aarav,Male,22,Civil,6.5,71.0,89.0,93.0,65.0
S0161,Priya,Male,20,CSE,3.9,95.0,45.0,78.0,87.0
S0162,Nisha,Female,20,ME,7.0,92.0,59.0,56.0,85.0
S0163,Nisha,Male,22,ME,2.8,90.0,79.0,58.0,71.0
S0164,Kunal,Female,21,IT,2.5,92.0,68.0,52.0,60.0
S0165,Abhishek,Female,20,IT,1.8,93.0,55.0,42.0,96.0
S0166,Arjun,Female,23,IT,6.1,95.0,47.0,84.0,59.0
S0167,Deb,Female,22,ME,5.3,98.0,46.0,65.0,93.0
S0168,Tanya,Female,22,IT,5.0,77.0,40.0,90.0,60.0
S0169,Deb,Female,24,IT,6.5,55.0,63.0,68.0,67.0
S0170,Ananya,Male,24,IT,4.8,89.0,90.0,45.0,45.0
S0171,Aditya,Female,20,ME,3.1,100.0,56.0,42.0,51.0
S0172,Arjun,Male,18,ECE,2.2,100.0,63.0,97.0,77.0
S0173,Diya,Female,18,Civil,4.8,95.0,79.0,45.0,56.0
S0174,Rahul,Male,24,ME,2.6,99.0,44.0,48.0,88.0
S0175,Rohan,Female,18,ECE,4.1,90.0,87.0,43.0,86.0
S0176,Moumita,Female,20,Civil,5.7,83.0,52.0,45.0,64.0
S0177,Moumita,Male,20,Civil,2.2,80.0,85.0,45.0,42.0
S0178,Kunal,Female,24,ME,4.1,95.0,49.0,92.0,38.0
S0179,Moumita,Male,24,ECE,4.0,72.0,87.0,71.0,71.0
S0180,Nisha,Male,19,IT,2.1,99.0,58.0,43.0,94.0
S0181,Priya,Male,21,ME,1.5,80.0,44.0,96.0,38.0
S0182,Ishita,Male,20,Civil,2.5,76.0,56.0,47.0,57.0
S0183,Diya,Male,24,Civil,1.5,69.0,69.0,77.0,60.0
S0184,Rahul,Male,19,ECE,4.9,98.0,47.0,66.0,54.0
S0185,Amit,Female,20,ECE,2.3,66.0,63.0,72.0,42.0
S0186,Sourav,Male,22,IT,6.6,89.0,43.0,77.0,60.0
S0187,Riya,Female,21,CSE,7.4,64.0,57.0,71.0,63.0
S0188,Vikram,Male,19,IT,1.9,98.0,92.0,68.0,42.0
S0189,Puja,Female,20,IT,1.9,99.0,98.0,95.0,41.0
S0190,Rohan,Female,24,ME,1.6,67.0,81.0,54.0,72.0
S0191,Aarav,Male,20,ECE,1.2,75.0,46.0,58.0,69.0
S0192,Abhishek,Female,23,IT,4.8,94.0,54.0,44.0,60.0
S0193,Neha,Female,23,ME,5.8,58.0,80.0,83.0,59.0
S0194,Ishita,Male,22,IT,4.9,88.0,62.0,93.0,63.0
S0195,Diya,Male,23,CSE,4.0,98.0,43.0,83.0,76.0
S0196,Ananya,Female,19,ME,3.8,100.0,98.0,83.0,93.0
S0197,Ishita,Male,20,CSE,2.7,69.0,81.0,55.0,55.0
S0198,Arjun,Female,23,CSE,1.8,88.0,70.0,64.0,49.0
S0199,Deb,Male,24,ECE,5.9,74.0,51.0,61.0,86.0
S0200,Tanya,Female,21,ME,4.9,67.0,45.0,67.0,62.0
S0201,Ishita,Male,22,Civil,6.2,91.0,89.0,87.0,69.0
S0202,Sayan,Female,23,ECE,6.1,76.0,75.0,47.0,92.0
S0203,Arjun,Female,19,CSE,4.2,69.0,86.0,91.0,52.0
S0204,Moumita,Female,21,ME,1.3,72.0,94.0,88.0,94.0
S0205,Moumita,Male,23,CSE,2.9,84.0,61.0,86.0,89.0
S0206,Rohan,Female,22,Civil,4.0,75.0,66.0,47.0,45.0
S0207,Vikram,Female,18,CSE,4.7,63.0,55.0,62.0,89.0
S0208,Amit,Female,19,IT,5.3,72.0,40.0,85.0,56.0
S0209,Sneha,Female,24,ME,2.9,88.0,88.0,87.0,85.0
S0210,Rohan,Male,20,IT,3.8,66.0,65.0,47.0,77.0
S0211,Ishita,Female,24,Civil,5.8,90.0,40.0,46.0,41.0
S0212,Aarav,Male,23,IT,5.4,56.0,41.0,73.0,41.0
S0213,Aarav,Male,21,CSE,2.4,93.0,49.0,73.0,50.0
S0214,Riya,Male,20,ME,1.2,57.0,59.0,75.0,70.0
S0215,Puja,Female,23,Civil,5.9,61.0,97.0,68.0,83.0
S0216,Deb,Male,18,IT,3.8,77.0,45.0,47.0,38.0
S0217,Sneha,Male,19,Civil,2.7,57.0,43.0,96.0,57.0
S0218,Aarav,Male,18,CSE,3.2,79.0,52.0,90.0,66.0
S0219,Rohan,Female,21,CSE,3.4,77.0,51.0,94.0,75.0
S0220,Riya,Male,18,ECE,3.9,57.0,72.0,87.0,43.0
S0221,Rahul,Female,21,CSE,7.1,86.0,78.0,88.0,49.0
S0222,Amit,Male,19,Civil,6.9,59.0,87.0,54.0,50.0
S0223,Puja,Male,24,ECE,7.9,98.0,95.0,48.0,70.0
S0224,Tanya,Male,20,Civil,7.1,63.0,92.0,79.0,93.0
S0225,Nisha,Male,20,ME,7.5,97.0,65.0,72.0,90.0
S0226,Aditya,Female,20,Civil,7.3,58.0,67.0,67.0,52.0
S0227,Aditya,Male,21,ME,3.9,88.0,49.0,94.0,58.0
S0228,Amit,Female,19,IT,4.8,60.0,48.0,59.0,45.0
S0229,Kunal,Male,21,IT,2.6,81.0,65.0,93.0,47.0
S0230,Abhishek,Male,22,CSE,8.0,94.0,90.0,53.0,38.0
S0231,Abhishek,Male,23,IT,2.1,64.0,41.0,89.0,56.0
S0232,Rahul,Female,19,Civil,2.6,84.0,84.0,43.0,88.0
S0233,Neha,Female,18,ME,1.4,96.0,47.0,76.0,71.0
S0234,Amit,Female,18,IT,1.9,62.0,69.0,76.0,41.0
S0235,Priya,Male,19,ECE,3.4,66.0,64.0,79.0,61.0
S0236,Pallavi,Female,23,ECE,7.9,85.0,73.0,94.0,89.0
S0237,Rahul,Female,21,CSE,5.5,63.0,46.0,86.0,92.0
S0238,Amit,Female,23,CSE,2.2,67.0,73.0,64.0,63.0
S0239,Ananya,Female,18,CSE,2.2,68.0,74.0,67.0,86.0
S0240,Vikram,Female,22,IT,2.4,69.0,48.0,73.0,56.0
S0241,Deb,Female,24,IT,1.2,67.0,95.0,89.0,61.0
S0242,Priya,Male,23,CSE,4.1,86.0,44.0,88.0,83.0
S0243,Puja,Male,23,CSE,2.2,72.0,54.0,57.0,78.0
S0244,Ishita,Male,21,IT,4.9,57.0,78.0,97.0,73.0
S0245,Sourav,Female,22,CSE,6.4,75.0,56.0,55.0,44.0
S0246,Deb,Male,18,ECE,7.4,56.0,49.0,53.0,60.0
S0247,Aarav,Male,18,IT,6.9,55.0,63.0,87.0,45.0
S0248,Rohan,Female,22,ECE,5.2,71.0,92.0,49.0,89.0
S0249,Abhishek,Male,20,CSE,5.0,88.0,48.0,93.0,51.0
S0250,Abhishek,Female,23,CSE,6.8,78.0,91.0,50.0,84.0
S0251,Priya,Male,19,ECE,7.6,99.0,91.0,93.0,71.0
S0252,Neha,Female,19,ME,6.6,89.0,69.0,73.0,63.0
S0253,Ananya,Female,23,CSE,3.5,65.0,58.0,95.0,62.0
S0254,Abhishek,Female,20,ECE,2.8,83.0,67.0,59.0,91.0
S0255,Rohan,Male,22,ME,3.2,95.0,68.0,67.0,63.0
S0256,Ananya,Female,24,ME,1.6,94.0,54.0,67.0,84.0
S0257,Ananya,Female,20,CSE,3.0,80.0,63.0,71.0,38.0
S0258,Amit,Female,18,IT,4.0,99.0,54.0,56.0,51.0
S0259,Abhishek,Female,24,Civil,2.2,89.0,94.0,72.0,67.0
S0260,Priya,Male,22,Civil,3.8,71.0,58.0,67.0,91.0
S0261,Nisha,Female,24,CSE,7.1,84.0,51.0,43.0,58.0
S0262,Tanya,Male,24,ECE,6.8,79.0,83.0,42.0,68.0
S0263,Aditya,Female,22,Civil,7.6,77.0,45.0,68.0,84.0
S0264,Moumita,Male,21,Civil,4.7,57.0,82.0,57.0,74.0
S0265,Tanya,Male,24,ECE,1.2,95.0,74.0,70.0,64.0
S0266,Amit,Female,19,Civil,4.5,62.0,40.0,43.0,87.0
S0267,Amit,Female,21,CSE,1.2,87.0,91.0,50.0,48.0
S0268,Aarav,Female,18,CSE,5.4,82.0,79.0,51.0,77.0
S0269,Abhishek,Female,20,ECE,7.9,88.0,49.0,45.0,82.0
S0270,Deb,Male,20,IT,2.5,84.0,89.0,70.0,55.0
S0271,Tanya,Female,20,ECE,2.2,68.0,47.0,69.0,82.0
S0272,Puja,Female,21,Civil,2.1,73.0,45.0,86.0,61.0
S0273,Arjun,Female,20,ME,5.5,93.0,82.0,67.0,66.0
S0274,Rahul,Female,24,ECE,1.4,92.0,76.0,44.0,89.0
S0275,Arjun,Male,19,CSE,1.9,82.0,85.0,67.0,70.0
S0276,Tanya,Male,19,ME,6.8,77.0,73.0,54.0,87.0
S0277,Priya,Male,22,IT,6.2,86.0,45.0,65.0,80.0
S0278,Aarav,Male,23,Civil,3.6,94.0,51.0,45.0,69.0
S0279,Moumita,Male,20,ME,7.7,86.0,76.0,74.0,50.0
S0280,Puja,Male,21,ME,2.5,75.0,49.0,69.0,93.0
S0281,Ananya,Female,23,IT,3.2,59.0,44.0,60.0,61.0
S0282,Nisha,Female,21,CSE,6.8,91.0,67.0,65.0,91.0
S0283,Sourav,Female,20,CSE,1.2,95.0,57.0,87.0,71.0
S0284,Aditya,Male,20,Civil,1.8,55.0,47.0,55.0,89.0
S0285,Riya,Male,24,IT,4.0,71.0,88.0,85.0,39.0
S0286,Diya,Male,21,Civil,6.1,59.0,78.0,63.0,91.0
S0287,Sourav,Female,18,CSE,1.5,62.0,76.0,87.0,96.0
S0288,Aditya,Female,20,IT,3.7,78.0,46.0,64.0,69.0
S0289,Ishita,Male,22,ECE,6.3,58.0,82.0,52.0,60.0
S0290,Moumita,Male,24,Civil,6.6,65.0,81.0,95.0,42.0
S0291,Diya,Male,20,Civil,5.2,70.0,96.0,46.0,88.0
S0292,Moumita,Male,19,ME,5.4,68.0,81.0,66.0,79.0
S0293,Amit,Female,22,IT,7.0,61.0,66.0,75.0,58.0
S0294,Moumita,Male,20,ME,3.1,87.0,40.0,63.0,75.0
S0295,Sayan,Male,23,ME,3.6,88.0,94.0,64.0,96.0
S0296,Tanya,Male,24,IT,2.3,72.0,60.0,91.0,65.0
S0297,Rohan,Female,23,ECE,2.8,96.0,62.0,67.0,43.0
S0298,Arjun,Female,21,IT,1.2,92.0,84.0,60.0,48.0
S0299,Tanya,Female,23,Civil,4.8,62.0,81.0,61.0,80.0
S0300,Arjun,Male,18,ME,5.3,60.0,57.0,56.0,82.0
S0301,Aarav,Female,20,ME,4.2,79.0,52.0,85.0,94.0
S0302,Diya,Female,23,Civil,1.5,55.0,59.0,89.0,88.0
S0303,Vikram,Female,18,Civil,4.0,59.0,98.0,94.0,52.0
S0304,Sourav,Female,18,ME,5.3,75.0,67.0,56.0,44.0
S0305,Sayan,Male,24,Civil,5.8,78.0,57.0,88.0,63.0
S0306,Priya,Male,23,ME,7.5,77.0,64.0,70.0,72.0
S0307,Priya,Female,19,IT,5.9,80.0,58.0,46.0,48.0
S0308,Rahul,Male,19,Civil,6.8,90.0,61.0,50.0,80.0
S0309,Aditya,Male,24,ECE,5.7,95.0,69.0,90.0,77.0
S0310,Neha,Female,22,CSE,6.8,79.0,73.0,74.0,69.0
S0311,Abhishek,Female,22,Civil,5.1,80.0,89.0,84.0,45.0
S0312,Puja,Female,22,IT,3.2,76.0,66.0,69.0,38.0
S0313,Pallavi,Female,20,IT,5.5,67.0,98.0,96.0,84.0
S0314,Neha,Female,21,CSE,4.8,86.0,72.0,63.0,50.0
S0315,Rohan,Female,19,IT,6.4,88.0,69.0,46.0,69.0
S0316,Kunal,Female,22,ECE,3.9,72.0,42.0,94.0,50.0
S0317,Rahul,Male,18,Civil,1.6,65.0,93.0,50.0,77.0
S0318,Ananya,Male,24,IT,4.2,57.0,60.0,75.0,40.0
S0319,Puja,Female,21,Civil,7.8,76.0,84.0,61.0,60.0
S0320,Puja,Male,18,CSE,7.8,79.0,77.0,78.0,49.0
S0321,Nisha,Male,23,Civil,2.3,83.0,45.0,72.0,93.0
S0322,Sayan,Female,24,CSE,7.9,72.0,53.0,62.0,93.0
S0323,Priya,Male,20,Civil,2.5,95.0,72.0,70.0,50.0
S0324,Deb,Female,21,IT,4.4,74.0,69.0,54.0,46.0
S0325,Riya,Male,19,IT,3.6,90.0,96.0,73.0,68.0
S0326,Priya,Male,19,ME,2.9,55.0,58.0,56.0,90.0
S0327,Ananya,Female,20,ECE,4.6,74.0,96.0,94.0,51.0
S0328,Priya,Female,24,ECE,2.4,91.0,45.0,92.0,70.0
S0329,Arjun,Male,23,IT,5.9,76.0,91.0,72.0,56.0
S0330,Moumita,Male,24,IT,7.6,79.0,65.0,52.0,92.0
S0331,Sourav,Female,18,ECE,3.5,64.0,41.0,93.0,84.0
S0332,Vikram,Female,23,ECE,3.8,59.0,45.0,94.0,81.0
S0333,Neha,Female,19,ME,7.3,94.0,61.0,76.0,53.0
S0334,Ishita,Male,19,ME,6.7,58.0,85.0,65.0,47.0
S0335,Diya,Female,20,Civil,3.1,56.0,60.0,64.0,43.0
S0336,Sourav,Male,18,CSE,7.8,95.0,42.0,70.0,42.0
S0337,Moumita,Female,20,IT,7.7,83.0,89.0,53.0,82.0
S0338,Sneha,Male,24,IT,4.7,88.0,54.0,45.0,86.0
S0339,Sneha,Male,21,IT,2.8,57.0,73.0,79.0,71.0
S0340,Sneha,Male,19,Civil,6.6,68.0,40.0,92.0,59.0
S0341,Amit,Male,23,ME,1.8,94.0,48.0,51.0,89.0
S0342,Kunal,Female,20,ECE,7.1,74.0,75.0,95.0,53.0
S0343,Sayan,Female,21,IT,3.2,77.0,45.0,80.0,95.0
S0344,Amit,Female,24,IT,5.3,67.0,87.0,80.0,92.0
S0345,Sneha,Male,21,CSE,6.3,67.0,85.0,68.0,43.0
S0346,Sourav,Male,23,Civil,4.1,55.0,81.0,57.0,66.0
S0347,Ishita,Male,24,ME,4.6,75.0,71.0,75.0,86.0
S0348,Tanya,Male,20,CSE,7.8,96.0,75.0,55.0,87.0
S0349,Pallavi,Female,21,CSE,2.0,70.0,77.0,93.0,73.0
S0350,Vikram,Male,24,IT,4.3,99.0,55.0,71.0,40.0
S0351,Pallavi,Female,19,CSE,4.5,91.0,43.0,76.0,62.0
S0352,Sneha,Female,21,ECE,1.9,72.0,92.0,59.0,58.0
S0353,Sneha,Female,20,ECE,3.9,90.0,89.0,42.0,55.0
S0354,Arjun,Male,18,IT,5.9,61.0,71.0,52.0,63.0
S0355,Rohan,Female,23,ECE,2.2,61.0,60.0,51.0,95.0
S0356,Rohan,Female,23,IT,4.4,83.0,87.0,92.0,60.0
S0357,Neha,Male,21,CSE,3.5,98.0,98.0,87.0,43.0
S0358,Abhishek,Female,22,Civil,6.4,88.0,54.0,94.0,48.0
S0359,Amit,Male,21,ME,1.3,61.0,54.0,47.0,66.0
S0360,Aditya,Female,18,ME,1.3,80.0,78.0,66.0,94.0
S0361,Puja,Female,20,IT,7.5,93.0,68.0,74.0,53.0
S0362,Puja,Female,22,Civil,5.7,62.0,69.0,89.0,67.0
S0363,Vikram,Female,23,CSE,2.3,73.0,96.0,50.0,50.0
S0364,Deb,Female,23,Civil,3.9,99.0,64.0,44.0,49.0
S0365,Tanya,Male,21,IT,2.9,84.0,57.0,48.0,59.0
S0366,Moumita,Female,21,ECE,2.5,67.0,69.0,60.0,86.0
S0367,Neha,Male,21,ME,5.8,67.0,40.0,94.0,88.0
S0368,Moumita,Female,21,CSE,4.9,60.0,47.0,95.0,70.0
S0369,Riya,Male,18,ME,4.7,58.0,60.0,61.0,38.0
S0370,Neha,Female,22,CSE,3.6,66.0,46.0,68.0,80.0
S0371,Abhishek,Female,18,ME,4.5,73.0,56.0,86.0,80.0
